Tree ID;Species Name;DBH (cm);Replacement Value (€);Carbon Storage (kg);Carbon Storage (€);Gross Carbon Sequestration (kg/yr);Gross Carbon Sequestration (€/yr);Avoided Runoff (m^3/yr);Avoided Runoff (€/yr);Carbon Avoided (kg/yr);Carbon Avoided (€/yr);Pollution Removal (g/yr);Pollution Removal (€/yr);Energy Savings (€/yr);Total Annual Benefits (€/yr)
3223194;Pinus;4,2;48,94;3,1;0,50;0,9;0,15;0,0;0,03;N/A;N/A;3,5;0,01;N/A;0,20
3223195;Pinus;4,5;50,71;3,7;0,59;1,0;0,17;0,0;0,03;N/A;N/A;3,8;0,02;N/A;0,21
3223196;Picea abies;7,7;170,73;14,6;2,34;1,2;0,19;0,1;0,10;N/A;N/A;11,3;0,05;N/A;0,33
3223197;Pinus;4,2;48,94;3,1;0,50;0,9;0,15;0,0;0,03;N/A;N/A;3,5;0,01;N/A;0,20
3223198;Pinus strobus;5,5;92,16;2,1;0,34;0,7;0,11;0,0;0,04;N/A;N/A;4,7;0,02;N/A;0,16
3223199;Picea abies;6,4;117,95;10,8;1,74;0,9;0,15;0,0;0,07;N/A;N/A;8,1;0,03;N/A;0,25
3223200;Picea abies;7,4;157,69;13,6;2,19;1,1;0,18;0,0;0,09;N/A;N/A;10,5;0,04;N/A;0,31
3223201;Picea abies;8,0;184,30;15,6;2,50;1,2;0,20;0,1;0,10;N/A;N/A;12,1;0,05;N/A;0,35
3223202;Pinus;6,4;102,57;8,3;1,34;1,7;0,27;0,0;0,05;N/A;N/A;6,3;0,03;N/A;0,35
3223206;Pinus nigra;14,4;568,92;24,0;3,85;2,0;0,33;0,1;0,21;N/A;N/A;24,7;0,10;N/A;0,64
3223207;Pinus nigra;20,1;829,75;52,1;8,36;3,2;0,51;0,2;0,39;N/A;N/A;46,1;0,19;N/A;1,09
3223208;Pinus nigra;16,6;659,38;33,3;5,35;2,5;0,39;0,1;0,27;N/A;N/A;31,9;0,13;N/A;0,80
3223209;Pinus nigra;20,4;845,87;53,9;8,66;3,2;0,52;0,2;0,40;N/A;N/A;47,5;0,20;N/A;1,12
